Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews,Company,ProcessorCompany,ProcessorC
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,17036.0,33990.0,Free delivery,Bank Offer,,4.0,AXL,Intel,Intel
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11,512 GB SSD,100.63 cm (39.62 cm) Display,1 Year Onsite Warranty,25990.0,59400.0,Free delivery,Lowest price in the year,"Upto ?15,400 Off on Exchange",4.0,Lenovo,AMD,AMD
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,28990.0,44990.0,Free delivery,Lowest Price in 30 days,"Upto ?18,200 Off on Exchange",4.0,ASUS,Intel,Intel
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,39890.0,67990.0,Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.0,MSI,Intel,Intel
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty by OEM,27990.0,37188.0,Free delivery,Save extra with combo offers,Only few left,4.0,HP,AMD,AMD
HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,33890.0,44783.0,Free delivery,EOSS Special Deal,Only few left,4.0,HP,AMD,AMD
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,36990.0,49318.0,Free delivery,Only few left,Bank Offer,4.0,DELL,Intel,Intel
ZEBRONICS Pro Series Z Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 3S Thi...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,25990.0,50999.0,Free delivery,Lowest price since launch,Only few left,3.0,ZEBRONICS,Intel,Intel
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,1 TB HDD|256 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty,79990.0,111990.0,Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange",4.0,MSI,Intel,Intel
Infinix INBook X2 Plus Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and...,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,28990.0,54990.0,Free delivery,Save extra with combo offers,Only 2 left,4.0,Infinix,Intel,Intel
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2021,36000.0,56260.0,Free delivery,Lowest price in the year,Only 1 left,4.0,HP,Intel,Intel
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,45990.0,77990.0,Free delivery,EOSS Special Deal,Only few left,4.0,Lenovo,AMD,AMD
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,54990.0,78999.0,Free delivery,EOSS Special Deal,Only 2 left,4.0,Acer,Intel,Intel
Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,Intel Celeron Dual Core Processor (4th Gen),8 GB DDR4 RAM,Windows 11,256 GB SSD,39.62 cm (15.6 inch) Display,1 Years,20990.0,42032.0,Free delivery,EOSS Special Deal,"Upto ?13,500 Off on Exchange",4.0,Lenovo,Intel,Intel
