Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,"?17,036","?33,990",Free delivery,Bank Offer,,436 Ratings & 4 Reviews
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,100.63 cm (39.62 cm) Display,1 Year Onsite Warranty,"?25,990","?59,400",Free delivery,Lowest price in the year,"Upto ?15,400 Off on Exchange",4.3631 Ratings & 68 Reviews
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?28,990","?44,990",Free delivery,Lowest Price in 30 days,"Upto ?18,200 Off on Exchange","4.21,300 Ratings & 104 Reviews"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"?39,890","?67,990",Free delivery,Save extra with combo offers,"Upto ?28,000 Off on Exchange",4.2700 Ratings & 94 Reviews
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite warranty by OEM,"?27,990","?37,188",Free delivery,Save extra with combo offers,Only few left,4.1342 Ratings & 28 Reviews
HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?33,890","?44,783",Free delivery,EOSS Special Deal,Only few left,"4.33,708 Ratings & 448 Reviews"
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and Light Lap...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?36,990","?49,318",Free delivery,Only few left,Bank Offer,"4.21,057 Ratings & 106 Reviews"
ZEBRONICS Pro Series Z Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 3S Thi...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"?25,990","?50,999",Free delivery,Lowest price since launch,Only few left,3.8124 Ratings & 19 Reviews
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty,"?79,990","?1,11,990",Free delivery,EOSS Special Deal,"Upto ?30,000 Off on Exchange",4.4102 Ratings & 13 Reviews
Infinix INBook X2 Plus Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and...,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?28,990","?54,990",Free delivery,Save extra with combo offers,Only 2 left,4.1356 Ratings & 63 Reviews
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2021,"?36,000","?56,260",Free delivery,Lowest price in the year,Only 1 left,"4.24,830 Ratings & 460 Reviews"
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"?45,990","?77,990",Free delivery,EOSS Special Deal,Only few left,4.2166 Ratings & 20 Reviews
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?54,990","?78,999",Free delivery,EOSS Special Deal,Only 2 left,"4.21,604 Ratings & 148 Reviews"
